angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[531, 229, 258, 315]",0.0,0.09,0.35,0.5,0.01,0.03
0.01,"[542, 246, 243, 292]",0.0,0.04,0.49,0.42,0.0,0.03
0.01,"[543, 247, 245, 291]",0.0,0.13,0.33,0.48,0.01,0.04
0.01,"[539, 244, 246, 295]",0.0,0.05,0.47,0.45,0.0,0.02
0.01,"[537, 235, 249, 301]",0.0,0.05,0.45,0.45,0.0,0.04
0.01,"[527, 231, 259, 315]",0.0,0.02,0.15,0.8,0.01,0.01
0.01,"[543, 245, 243, 293]",0.0,0.09,0.39,0.46,0.01,0.04
0.01,"[543, 246, 242, 292]",0.0,0.09,0.43,0.44,0.0,0.03
0.01,"[541, 246, 246, 292]",0.0,0.1,0.47,0.4,0.0,0.03
0.01,"[536, 247, 247, 293]",0.0,0.11,0.34,0.5,0.01,0.04
0.01,"[554, 259, 229, 273]",0.0,0.02,0.62,0.31,0.0,0.03
0.02,"[538, 248, 245, 292]",0.0,0.02,0.38,0.57,0.0,0.01
0.02,"[540, 253, 242, 287]",0.0,0.06,0.41,0.48,0.0,0.03
0.01,"[540, 249, 243, 290]",0.0,0.02,0.58,0.37,0.0,0.01
0.04,"[536, 246, 249, 309]",0.0,0.36,0.02,0.24,0.03,0.31
0.02,"[536, 242, 250, 313]",0.0,0.38,0.02,0.13,0.02,0.43
0.04,"[540, 251, 244, 305]",0.01,0.22,0.05,0.16,0.02,0.49
0.05,"[538, 251, 244, 304]",0.0,0.25,0.08,0.31,0.02,0.28
0.03,"[537, 251, 246, 306]",0.01,0.32,0.06,0.17,0.03,0.38
0.05,"[535, 249, 248, 308]",0.0,0.29,0.06,0.17,0.02,0.41
0.05,"[538, 254, 246, 301]",0.0,0.24,0.02,0.15,0.03,0.5
0.07,"[536, 250, 248, 305]",0.0,0.22,0.05,0.2,0.01,0.46
0.02,"[535, 250, 248, 306]",0.0,0.32,0.02,0.13,0.01,0.49
